judge_model,experiment_type,app,variant,detector_model,method,n_omission_items,n_delta,n_true_gaps,n_invalid,found_delta_strict,found_gaps_strict,precision_dedup_strict,recall_dedup_strict,found_delta_broad,found_gaps_broad,precision_dedup_broad,recall_dedup_broad
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,5,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,4,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,4,3,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,4,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,5,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,4,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,4,3,2,0,1,1,1.0,0.5,1,1,1.0,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,4,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,7,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,7,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,7,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,7,3,2,0,2,2,1.0,1.0,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,6,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,7,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,4,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,7,3,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,4,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,4,3,1,0,1,1,1.0,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,5,3,1,0,2,1,0.5,1.0,3,1,0.3333333333333333,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,4,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,4,3,1,0,1,1,1.0,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,6,3,1,0,1,1,1.0,1.0,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,4,3,1,0,1,1,1.0,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,5,3,1,0,1,1,1.0,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,6,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-warehouse,9,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,twoshot,8,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,zeroshot,6,3,1,0,2,1,0.5,1.0,3,1,0.3333333333333333,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-tracker,4,3,1,0,1,1,1.0,1.0,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-warehouse,6,3,1,0,2,1,0.5,1.0,2,1,0.5,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,twoshot,5,3,1,0,1,1,1.0,1.0,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,zeroshot,5,3,1,0,1,1,1.0,1.0,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-tracker,6,2,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-warehouse,6,2,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,twoshot,5,2,2,0,1,1,1.0,0.5,1,1,1.0,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,zeroshot,5,2,2,1,1,1,1.0,0.5,1,1,1.0,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-tracker,15,2,2,1,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-warehouse,8,2,2,0,1,1,1.0,0.5,1,1,1.0,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,twoshot,9,2,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,zeroshot,4,2,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-tracker,10,2,2,0,1,1,1.0,0.5,1,1,1.0,0.5
